breakdown,group,rows,method,exact_match,bleu4,rouge1_f1,rouge2_f1,rougeL_f1,semantic_cosine_bge_m3,format_type_match,format_structure_score,validator_adherence,validator_rows,length_diff_tokens,absolute_length_diff_tokens,length_ratio_tokens,terminated_with_eos,length_diff_chars,trajectory_kl_macro,trajectory_kl_micro,trajectory_token_count
overall,all,18,base_no_prompt,0.1111111111111111,0.25253589770748464,0.4792997075422597,0.3279644258024288,0.36901779365787024,0.8724585837788053,0.5,0.5997863247863249,0.0,9,69.61111111111111,86.72222222222223,3.0007148454943424,0.5,177.38888888888889,0.7375514893603972,0.300180234445397,1860
overall,all,18,full_prompt,1.0,1.0,1.0,1.0,1.0,1.0000000099341075,1.0,1.0,1.0,9,0.0,0.0,1.0,0.7777777777777778,0.0,0.0,0.0,1860
overall,all,18,qtraj_teacher_margin,0.3888888888888889,0.5688007735791398,0.7004029174417387,0.6217497624930025,0.6392634101178684,0.9407163394822015,0.7222222222222222,0.8937460687460688,0.7777777777777778,9,25.0,42.44444444444444,1.731670360062206,0.7222222222222222,63.388888888888886,0.4327347930300868,0.30639485103054187,1860
overall,all,18,qtraj_topk_delta,0.3333333333333333,0.4812133530554774,0.6453491121968519,0.5415705818521354,0.5634964216867977,0.9239583743943108,0.7777777777777778,0.9177752582514486,0.7777777777777778,9,39.888888888888886,51.111111111111114,1.9995517818360073,0.6111111111111112,105.27777777777777,0.06276685950063418,0.08017879788046645,1860
overall,all,18,qtraj_teacher_auto_margin,1.0,1.0,1.0,1.0,1.0,0.9999997251563602,1.0,1.0,1.0,9,0.0,0.0,1.0,0.7777777777777778,0.0,0.07089819481598139,0.06610546034995116,1860
language,en,12,base_no_prompt,0.16666666666666666,0.33381280961586907,0.5205074998871461,0.41002120275505477,0.460510853898585,0.8802968263626099,0.5833333333333334,0.655952380952381,0.0,6,51.083333333333336,76.75,2.727503821746238,0.75,178.33333333333334,0.9122398316883124,0.4341229675372538,961
language,en,12,full_prompt,1.0,1.0,1.0,1.0,1.0,1.0000000149011612,1.0,1.0,1.0,6,0.0,0.0,1.0,0.9166666666666666,0.0,0.0,0.0,961
language,en,12,qtraj_teacher_margin,0.5833333333333334,0.6800710845530977,0.7736177035407303,0.718079542369968,0.7353837087030438,0.9469250837961832,0.6666666666666666,0.8909752284752285,0.6666666666666666,6,21.166666666666668,47.333333333333336,1.671585961978609,0.8333333333333334,70.16666666666667,0.40044024255867994,0.33638175671899345,961
language,en,12,qtraj_topk_delta,0.5,0.6084146358274086,0.737756150234603,0.6580280183291362,0.682041401601415,0.9295565187931061,0.75,0.9134826152683294,0.6666666666666666,6,31.666666666666668,48.5,1.7983245965070325,0.6666666666666666,115.41666666666667,0.06588611477842297,0.11333405909697364,961
language,en,12,qtraj_teacher_auto_margin,1.0,1.0,1.0,1.0,1.0,0.9999997268120447,1.0,1.0,1.0,6,0.0,0.0,1.0,0.9166666666666666,0.0,0.07421508481806839,0.0861130998606012,961
language,zh,6,base_no_prompt,0.0,0.0899820738907157,0.39688412285248725,0.16385087189717676,0.1860316731764408,0.8567820986111959,0.3333333333333333,0.48745421245421255,0.0,3,106.66666666666667,106.66666666666667,3.5471368929905522,0.0,175.5,0.38817480470456683,0.1570000714851361,899
language,zh,6,full_prompt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0,0.0,1.0,0.5,0.0,0.0,0.0,899
language,zh,6,qtraj_teacher_margin,0.0,0.3462601516312242,0.5539733452437553,0.4290902027390718,0.44702281294751717,0.9282988508542379,0.8333333333333334,0.8992877492877493,1.0,3,32.666666666666664,32.666666666666664,1.8518391562294003,0.5,49.833333333333336,0.4973238939729005,0.27433988288081773,899
language,zh,6,qtraj_topk_delta,0.0,0.22681078751161507,0.46053503612134966,0.308655708898134,0.3264064618575628,0.9127620855967203,0.8333333333333334,0.9263605442176871,1.0,3,56.333333333333336,56.333333333333336,2.4020061524939575,0.5,85.0,0.056528348945056615,0.04473696692488983,899
language,zh,6,qtraj_teacher_auto_margin,1.0,1.0,1.0,1.0,1.0,0.9999997218449911,1.0,1.0,1.0,3,0.0,0.0,1.0,0.5,0.0,0.06426441481180738,0.04471798363167007,899
