breakdown,group,rows,method,strict_format,tag_extraction,em,f1,containment
overall,all,30,base_no_prompt,0.8666666666666667,0.8666666666666667,0.03333333333333333,0.10280840087231063,0.03333333333333333
overall,all,30,full_prompt,0.9666666666666667,0.9666666666666667,0.5,0.6458058608058608,0.6
overall,all,30,qtraj_teacher_margin,0.9666666666666667,0.9666666666666667,0.5,0.6458058608058608,0.6
overall,all,30,qtraj_topk_delta,0.9666666666666667,0.9666666666666667,0.4666666666666667,0.6405244755244757,0.5666666666666667
overall,all,30,qtraj_teacher_auto_margin,0.9666666666666667,0.9666666666666667,0.5,0.6458058608058608,0.6
language,en,20,base_no_prompt,0.9,0.9,0.05,0.10958333333333332,0.05
language,en,20,full_prompt,0.95,0.95,0.55,0.6425641025641026,0.65
language,en,20,qtraj_teacher_margin,0.95,0.95,0.55,0.6425641025641026,0.65
language,en,20,qtraj_topk_delta,0.95,0.95,0.5,0.6125641025641027,0.6
language,en,20,qtraj_teacher_auto_margin,0.95,0.95,0.55,0.6425641025641026,0.65
language,zh,10,base_no_prompt,0.8,0.8,0.0,0.08925853595026527,0.0
language,zh,10,full_prompt,1.0,1.0,0.4,0.6522893772893773,0.5
language,zh,10,qtraj_teacher_margin,1.0,1.0,0.4,0.6522893772893773,0.5
language,zh,10,qtraj_topk_delta,1.0,1.0,0.4,0.6964452214452215,0.5
language,zh,10,qtraj_teacher_auto_margin,1.0,1.0,0.4,0.6522893772893773,0.5
source,cmrc2018,4,base_no_prompt,0.5,0.5,0.0,0.12163118836051166,0.0
source,cmrc2018,4,full_prompt,1.0,1.0,0.25,0.6217948717948718,0.5
source,cmrc2018,4,qtraj_teacher_margin,1.0,1.0,0.25,0.6217948717948718,0.5
source,cmrc2018,4,qtraj_topk_delta,1.0,1.0,0.25,0.6217948717948718,0.5
source,cmrc2018,4,qtraj_teacher_auto_margin,1.0,1.0,0.25,0.6217948717948718,0.5
source,drcd,4,base_no_prompt,1.0,1.0,0.0,0.1015151515151515,0.0
source,drcd,4,full_prompt,1.0,1.0,0.25,0.5089285714285714,0.25
source,drcd,4,qtraj_teacher_margin,1.0,1.0,0.25,0.5089285714285714,0.25
source,drcd,4,qtraj_topk_delta,1.0,1.0,0.25,0.6193181818181818,0.25
source,drcd,4,qtraj_teacher_auto_margin,1.0,1.0,0.25,0.5089285714285714,0.25
source,natural_questions,5,base_no_prompt,1.0,1.0,0.0,0.025,0.0
source,natural_questions,5,full_prompt,0.8,0.8,0.2,0.41025641025641024,0.4
source,natural_questions,5,qtraj_teacher_margin,0.8,0.8,0.2,0.41025641025641024,0.4
source,natural_questions,5,qtraj_topk_delta,0.8,0.8,0.2,0.4902564102564102,0.4
source,natural_questions,5,qtraj_teacher_auto_margin,0.8,0.8,0.2,0.41025641025641024,0.4
source,relation_extraction,5,base_no_prompt,1.0,1.0,0.2,0.2,0.2
source,relation_extraction,5,full_prompt,1.0,1.0,1.0,1.0,1.0
source,relation_extraction,5,qtraj_teacher_margin,1.0,1.0,1.0,1.0,1.0
source,relation_extraction,5,qtraj_topk_delta,1.0,1.0,1.0,1.0,1.0
source,relation_extraction,5,qtraj_teacher_auto_margin,1.0,1.0,1.0,1.0,1.0
source,squad,4,base_no_prompt,0.75,0.75,0.0,0.1,0.0
source,squad,4,full_prompt,1.0,1.0,0.5,0.5,0.5
source,squad,4,qtraj_teacher_margin,1.0,1.0,0.5,0.5,0.5
source,squad,4,qtraj_topk_delta,1.0,1.0,0.25,0.25,0.25
source,squad,4,qtraj_teacher_auto_margin,1.0,1.0,0.5,0.5,0.5
source,synthetic,4,base_no_prompt,0.75,0.75,0.0,0.0,0.0
source,synthetic,4,full_prompt,1.0,1.0,1.0,1.0,1.0
source,synthetic,4,qtraj_teacher_margin,1.0,1.0,1.0,1.0,1.0
source,synthetic,4,qtraj_topk_delta,1.0,1.0,1.0,1.0,1.0
source,synthetic,4,qtraj_teacher_auto_margin,1.0,1.0,1.0,1.0,1.0
source,triviaqa,4,base_no_prompt,1.0,1.0,0.0,0.16666666666666666,0.0
source,triviaqa,4,full_prompt,1.0,1.0,0.25,0.45,0.5
source,triviaqa,4,qtraj_teacher_margin,1.0,1.0,0.25,0.45,0.5
source,triviaqa,4,qtraj_topk_delta,1.0,1.0,0.25,0.45,0.5
source,triviaqa,4,qtraj_teacher_auto_margin,1.0,1.0,0.25,0.45,0.5
partition,base_short,8,base_no_prompt,0.75,0.75,0.0,0.05,0.0
partition,base_short,8,full_prompt,1.0,1.0,0.75,0.75,0.75
partition,base_short,8,qtraj_teacher_margin,1.0,1.0,0.75,0.75,0.75
partition,base_short,8,qtraj_topk_delta,1.0,1.0,0.625,0.625,0.625
partition,base_short,8,qtraj_teacher_auto_margin,1.0,1.0,0.75,0.75,0.75
partition,expanded_public,22,base_no_prompt,0.9090909090909091,0.9090909090909091,0.045454545454545456,0.12201145573496902,0.045454545454545456
partition,expanded_public,22,full_prompt,0.9545454545454546,0.9545454545454546,0.4090909090909091,0.607917082917083,0.5454545454545454
partition,expanded_public,22,qtraj_teacher_margin,0.9545454545454546,0.9545454545454546,0.4090909090909091,0.607917082917083,0.5454545454545454
partition,expanded_public,22,qtraj_topk_delta,0.9545454545454546,0.9545454545454546,0.4090909090909091,0.6461697393515575,0.5454545454545454
partition,expanded_public,22,qtraj_teacher_auto_margin,0.9545454545454546,0.9545454545454546,0.4090909090909091,0.607917082917083,0.5454545454545454
