breakdown,group,rows,exact_output_match,convergence_rate,zero_anchor_rate,active_rank_mean,active_rank_median,active_rank_p90,active_rank_p95,active_rank_max,anchor_parameters_mean,anchor_parameters_p95,anchor_parameters_max,auto_margin_seconds_mean,auto_margin_seconds_p95
overall,all,276,1.0,1.0,0.03985507246376811,26.307971014492754,21.0,60.0,80.25,117.0,6559734.724637682,20009856.0,29173248.0,42.59701811594203,89.0575
language,en,138,1.0,1.0,0.050724637681159424,21.695652173913043,17.0,46.599999999999994,59.900000000000034,109.0,5409680.695652174,14935705.600000009,27178496.0,38.07663768115942,78.15745000000007
language,zh,138,1.0,1.0,0.028985507246376812,30.920289855072465,26.0,71.3,84.90000000000003,117.0,7709788.7536231885,21169305.60000001,29173248.0,47.11739855072464,90.64785000000002
task_family,descriptive,180,1.0,1.0,0.027777777777777776,28.622222222222224,24.5,59.19999999999999,80.04999999999998,109.0,7136779.377777778,19959987.199999996,27178496.0,48.61267222222222,93.44634999999991
task_family,format,36,1.0,1.0,0.1111111111111111,15.694444444444445,7.0,39.0,53.25,93.0,3913315.5555555555,13277568.0,23188992.0,29.090305555555556,87.02875
task_family,output_control,24,1.0,1.0,0.0,11.083333333333334,5.5,27.999999999999993,32.699999999999996,46.0,2763562.6666666665,8153548.799999999,11469824.0,23.267916666666668,60.933499999999995
task_family,style,36,1.0,1.0,0.05555555555555555,35.5,32.5,71.5,98.0,117.0,8851712.0,24435712.0,29173248.0,38.91152777777778,85.44075000000001
length_variant,long_redundant,92,1.0,1.0,0.043478260869565216,25.67391304347826,20.5,58.400000000000034,77.15000000000002,117.0,6401636.173913044,19236889.6,29173248.0,40.935228260869565,88.28425000000001
length_variant,medium_redundant,92,1.0,1.0,0.043478260869565216,28.23913043478261,22.5,72.20000000000005,87.0,109.0,7041257.739130435,21692928.0,27178496.0,44.6161847826087,91.3183
length_variant,short,92,1.0,1.0,0.03260869565217391,25.01086956521739,20.0,54.70000000000002,67.70000000000002,96.0,6236310.260869565,16880588.800000004,23937024.0,42.23964130434783,85.33120000000002
subtype,academic,6,1.0,1.0,0.3333333333333333,28.833333333333332,24.0,62.5,67.25,72.0,7189418.666666667,16768384.0,17952768.0,25.492833333333333,61.671749999999996
subtype,beginner_friendly,6,1.0,1.0,0.0,21.0,20.0,37.5,37.75,38.0,5236224.0,9412736.0,9475072.0,37.9625,66.1705
subtype,clear_coherent_structure,30,1.0,1.0,0.0,24.866666666666667,25.5,35.400000000000006,40.64999999999999,59.0,6200354.133333334,10135833.599999998,14711296.0,44.38086666666667,66.70665
subtype,complete_main_points,30,1.0,1.0,0.0,28.933333333333334,29.0,43.0,46.84999999999998,59.0,7214353.066666666,11681766.399999995,14711296.0,53.62606666666667,85.36024999999992
subtype,concise_direct,6,1.0,1.0,0.0,8.333333333333334,9.5,12.0,12.5,13.0,2077866.6666666667,3116800.0,3241472.0,10.078166666666666,13.68075
subtype,cover_key_aspects,30,1.0,1.0,0.06666666666666667,21.133333333333333,20.5,32.2,42.24999999999996,56.0,5269469.866666666,10534783.999999989,13963264.0,47.35393333333333,70.0504
subtype,direct_complete_response,30,1.0,1.0,0.06666666666666667,14.533333333333333,9.5,34.0,40.599999999999966,52.0,3623799.466666667,10123366.399999991,12965888.0,29.0988,65.60894999999998
subtype,exactly_two,6,1.0,1.0,0.0,24.166666666666668,23.0,39.5,42.75,46.0,6025813.333333333,10659456.0,11469824.0,25.376833333333334,39.72625
subtype,fixed_prefix,6,1.0,1.0,0.0,3.1666666666666665,1.5,7.0,8.0,9.0,789589.3333333334,1994752.0,2244096.0,6.3585,10.655750000000001
subtype,fixed_suffix,6,1.0,1.0,0.0,2.5,2.5,4.0,4.5,5.0,623360.0,1122048.0,1246720.0,3.6403333333333334,5.427999999999999
subtype,item_marker,6,1.0,1.0,0.0,14.5,16.5,19.5,20.25,21.0,3615488.0,5049216.0,5236224.0,57.696,66.338
subtype,json_answer,6,1.0,1.0,0.0,13.5,12.5,18.5,20.25,22.0,3366144.0,5049216.0,5485568.0,12.9925,16.5215
subtype,key_value,6,1.0,1.0,0.0,10.0,4.5,23.5,31.25,39.0,2493440.0,7792000.0,9724416.0,18.597833333333334,65.5835
subtype,markdown_table,6,1.0,1.0,0.0,41.333333333333336,24.5,91.5,92.25,93.0,10306218.666666666,23001984.0,23188992.0,54.44233333333334,87.97825
subtype,numbered_list,6,1.0,1.0,0.16666666666666666,8.5,3.0,22.0,31.5,41.0,2119424.0,7854336.0,10223104.0,30.817,47.76350000000001
subtype,patient_teacher,6,1.0,1.0,0.0,58.0,53.5,94.0,105.5,117.0,14461952.0,26305792.0,29173248.0,50.91266666666667,87.54050000000001
subtype,pipe_line,6,1.0,1.0,0.0,8.333333333333334,2.5,21.5,30.25,39.0,2077866.6666666667,7542656.0,9724416.0,23.1205,46.16525
subtype,professional_advisor,6,1.0,1.0,0.0,25.166666666666668,26.5,40.0,40.5,41.0,6275157.333333333,10098432.0,10223104.0,36.726,67.89925
subtype,relationships_and_reasons,30,1.0,1.0,0.0,56.36666666666667,57.0,87.0,96.89999999999995,109.0,14054690.133333333,24161433.599999987,27178496.0,74.94673333333333,119.13154999999996
subtype,self_contained_reasoning,30,1.0,1.0,0.03333333333333333,25.9,22.5,61.0,66.49999999999997,96.0,6458009.6,16581375.999999993,23937024.0,42.26963333333333,69.61064999999999
subtype,storyteller,6,1.0,1.0,0.0,71.66666666666667,63.5,101.0,104.0,107.0,17869653.333333332,25931776.0,26679808.0,72.297,85.97025
subtype,xml_answer,6,1.0,1.0,0.5,12.5,10.5,27.0,30.0,33.0,3116800.0,7480320.0,8228352.0,34.571666666666665,81.94825
