breakdown,group,rows,method,exact_match,bleu4,rouge1_f1,rouge2_f1,rougeL_f1,semantic_cosine_bge_m3,format_type_match,format_structure_score,validator_adherence,validator_rows,length_diff_tokens,absolute_length_diff_tokens,length_ratio_tokens,terminated_with_eos,length_diff_chars,trajectory_kl_macro,trajectory_kl_micro,trajectory_token_count
overall,all,276,base_no_prompt,0.007246376811594203,0.15491667548348237,0.41593020062049707,0.22415029990345134,0.27618004656887063,0.8213052336072576,0.5072463768115942,0.683169251130855,0.05,60,29.108695652173914,59.96376811594203,2.6413595984408733,0.41304347826086957,69.5036231884058,0.3375503370906611,0.14960338645996482,48385
overall,all,276,full_prompt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6833333333333333,60,0.0,0.0,1.0,0.5036231884057971,0.0,0.0,0.0,48385
overall,all,276,qtraj_teacher_margin,0.13043478260869565,0.4269732387620928,0.6222032863144846,0.48289661882500745,0.5259644835621863,0.9306940889876821,0.8043478260869565,0.8720805332215353,0.5333333333333333,60,13.365942028985508,32.29347826086956,1.258274771372095,0.42391304347826086,28.456521739130434,0.3637166816744026,0.3121269070494385,48385
overall,all,276,qtraj_topk_delta,0.10869565217391304,0.4112845061384626,0.6322288615228306,0.47057171502069906,0.5153115506199745,0.9229429074819537,0.7789855072463768,0.8742828670606961,0.5833333333333334,60,0.5217391304347826,23.71014492753623,1.2728090158037106,0.5,-10.681159420289855,0.1236056366335127,0.1459385319556582,48385
overall,all,276,qtraj_teacher_auto_margin,1.0,1.0,1.0,1.0,1.0,0.9999999328367952,1.0,1.0,0.6833333333333333,60,0.0,0.0,1.0,0.5036231884057971,0.0,0.06778934443612412,0.06712946985942383,48385
language,en,138,base_no_prompt,0.014492753623188406,0.20985537483934386,0.4740455001313446,0.28442049605967645,0.35280534412540987,0.8297805246235668,0.5652173913043478,0.7052411166342495,0.0,30,30.195652173913043,65.60144927536231,2.7224979908807625,0.5434782608695652,87.14492753623189,0.3432305105635188,0.14760464719951408,22341
language,en,138,full_prompt,1.0,1.0,1.0,1.0,1.0,1.0000000043191772,1.0,1.0,0.8,30,0.0,0.0,1.0,0.6086956521739131,0.0,0.0,0.0,22341
language,en,138,qtraj_teacher_margin,0.15217391304347827,0.4884595601775327,0.6887561762755191,0.5482461155330987,0.6040395650144644,0.9315382168776747,0.8333333333333334,0.8773221576439386,0.6333333333333333,30,7.659420289855072,30.963768115942027,1.1501815340307329,0.5434782608695652,27.043478260869566,0.3630247590681461,0.36372440335282047,22341
language,en,138,qtraj_topk_delta,0.13768115942028986,0.4812530681711142,0.6974772511519118,0.5468206537916949,0.6028450674509965,0.9333724988543469,0.8333333333333334,0.8890230125736434,0.6333333333333333,30,-6.27536231884058,25.782608695652176,1.0473544113215965,0.6304347826086957,-31.652173913043477,0.14636025167337854,0.203333517037224,22341
language,en,138,qtraj_teacher_auto_margin,1.0,1.0,1.0,1.0,1.0,0.999999920959058,1.0,1.0,0.8,30,0.0,0.0,1.0,0.6086956521739131,0.0,0.059612182987290895,0.062154090801517785,22341
