breakdown,group,rows,exact_output_match,convergence_rate,zero_anchor_rate,active_rank_mean,active_rank_median,active_rank_p90,active_rank_p95,active_rank_max,anchor_parameters_mean,anchor_parameters_p95,anchor_parameters_max,auto_margin_seconds_mean,auto_margin_seconds_p95
overall,all,774,1.0,1.0,0.7428940568475452,0.43023255813953487,0.0,1.0,2.0,25.0,107275.90697674418,498688.0,6233600.0,2.685033591731266,5.930249999999988
language,en,462,1.0,1.0,0.7705627705627706,0.4069264069264069,0.0,1.0,2.0,25.0,101464.658008658,498688.0,6233600.0,2.535701298701299,4.675949999999998
language,zh,312,1.0,1.0,0.7019230769230769,0.46474358974358976,0.0,1.0,2.0,9.0,115881.02564102564,498688.0,2244096.0,2.9061602564102564,6.992899999999999
source,cmrc2018,155,1.0,1.0,0.6580645161290323,0.567741935483871,0.0,2.0,2.0,9.0,141563.04516129033,498688.0,2244096.0,3.1960709677419357,7.9433
source,drcd,155,1.0,1.0,0.7419354838709677,0.36774193548387096,0.0,1.0,2.0,5.0,91694.24516129032,498688.0,1246720.0,2.628825806451613,4.9036999999999935
source,natural_questions,150,1.0,1.0,0.7133333333333334,0.6666666666666666,0.0,2.0,2.0,25.0,166229.33333333334,498688.0,6233600.0,2.84888,6.010049999999996
source,relation_extraction,150,1.0,1.0,0.82,0.25333333333333335,0.0,1.0,1.549999999999983,3.0,63167.14666666667,386483.19999999576,748032.0,2.35908,4.227599999999999
source,squad,10,1.0,1.0,0.4,0.7,1.0,1.0999999999999996,1.549999999999999,2.0,174540.8,386483.1999999997,498688.0,3.2178999999999998,5.703499999999997
source,synthetic,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84225,1.9591500000000002
source,triviaqa,150,1.0,1.0,0.8,0.2866666666666667,0.0,1.0,1.549999999999983,4.0,71478.61333333333,386483.19999999576,997376.0,2.3641,3.6707499999999973
dataset_partition,base_short,24,1.0,1.0,0.7083333333333334,0.3333333333333333,0.0,1.0,1.0,2.0,83114.66666666667,249344.0,498688.0,2.5016666666666665,4.099399999999998
dataset_partition,expanded_public,750,1.0,1.0,0.744,0.43333333333333335,0.0,1.0,2.0,25.0,108049.06666666667,498688.0,6233600.0,2.690901333333333,5.957249999999994
