breakdown,group,rows,method,strict_format,tag_extraction,em,f1,containment
overall,all,774,base_no_prompt,0.8888888888888888,0.8888888888888888,0.04909560723514212,0.1520221908998457,0.0710594315245478
overall,all,774,full_prompt,0.9728682170542635,0.9728682170542635,0.5633074935400517,0.7134053416778673,0.6705426356589147
overall,all,774,qtraj_teacher_margin,0.9689922480620154,0.9689922480620154,0.5594315245478036,0.7098177042879448,0.6679586563307494
overall,all,774,qtraj_topk_delta,0.9728682170542635,0.9728682170542635,0.5490956072351422,0.7004146097692556,0.6563307493540051
overall,all,774,qtraj_teacher_auto_margin,0.9728682170542635,0.9728682170542635,0.5633074935400517,0.7134053416778673,0.6705426356589147
language,en,462,base_no_prompt,0.9264069264069265,0.9264069264069265,0.0670995670995671,0.11623003789737299,0.09307359307359307
language,en,462,full_prompt,0.987012987012987,0.987012987012987,0.5627705627705628,0.6649065660970426,0.670995670995671
language,en,462,qtraj_teacher_margin,0.9826839826839827,0.9826839826839827,0.5584415584415584,0.6604401330591808,0.6688311688311688
language,en,462,qtraj_topk_delta,0.9891774891774892,0.9891774891774892,0.5432900432900433,0.6486229859606486,0.6493506493506493
language,en,462,qtraj_teacher_auto_margin,0.987012987012987,0.987012987012987,0.5627705627705628,0.6649065660970426,0.670995670995671
language,zh,312,base_no_prompt,0.8333333333333334,0.8333333333333334,0.022435897435897436,0.20502210976889101,0.038461538461538464
language,zh,312,full_prompt,0.9519230769230769,0.9519230769230769,0.5641025641025641,0.7852208362879334,0.6698717948717948
language,zh,312,qtraj_teacher_margin,0.9487179487179487,0.9487179487179487,0.5608974358974359,0.7829344924536136,0.6666666666666666
language,zh,312,qtraj_topk_delta,0.9487179487179487,0.9487179487179487,0.5576923076923077,0.7771060527166143,0.6666666666666666
language,zh,312,qtraj_teacher_auto_margin,0.9519230769230769,0.9519230769230769,0.5641025641025641,0.7852208362879334,0.6698717948717948
source,cmrc2018,155,base_no_prompt,0.7354838709677419,0.7354838709677419,0.0064516129032258064,0.17990682793506882,0.01935483870967742
source,cmrc2018,155,full_prompt,0.9354838709677419,0.9354838709677419,0.5096774193548387,0.7804409314517591,0.6258064516129033
source,cmrc2018,155,qtraj_teacher_margin,0.9354838709677419,0.9354838709677419,0.5096774193548387,0.7800656613710191,0.6193548387096774
source,cmrc2018,155,qtraj_topk_delta,0.9290322580645162,0.9290322580645162,0.5032258064516129,0.7681396137153507,0.6258064516129033
source,cmrc2018,155,qtraj_teacher_auto_margin,0.9354838709677419,0.9354838709677419,0.5096774193548387,0.7804409314517591,0.6258064516129033
source,drcd,155,base_no_prompt,0.9290322580645162,0.9290322580645162,0.03870967741935484,0.2327828381803765,0.05806451612903226
source,drcd,155,full_prompt,0.967741935483871,0.967741935483871,0.6129032258064516,0.7872293970762094,0.7096774193548387
